label_name,target_hit,target_indices,query_indices,AP,HR,RR
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[482, 2395, 3044, 2926, 2467, 1969, 2556, 2800, 969, 191]",0,1.0,1.0,1.0
right lung opacity,"[False, True, True, True, True, True, True, True, True, True]","[912, 390, 175, 2139, 264, 2383, 1331, 2911, 2316, 1119]",1,0.7856701940035273,0.9,0.5
right lung opacity,"[False, False, False, False, False, True, True, False, False, False]","[796, 2897, 2567, 1707, 2374, 971, 2933, 2274, 1136, 439]",2,0.22619047619047616,0.2,0.16666666666666666
right lung opacity,"[True, True, True, False, False, True, True, True, True, True]","[1398, 2650, 567, 55, 2836, 2106, 1299, 2735, 898, 2134]",4,0.8385912698412699,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1297, 2642, 1675, 614, 2695, 2000, 1480, 1679, 1143, 1387]",5,1.0,1.0,1.0
right lung opacity,"[True, False, True, True, True, True, True, True, True, True]","[1650, 2433, 2522, 1196, 1431, 2608, 416, 2449, 1292, 1181]",6,0.8412257495590829,0.9,1.0
right lung opacity,"[True, True, True, True, False, True, True, False, True, True]","[995, 170, 1941, 766, 3083, 36, 1951, 1656, 1612, 2659]",9,0.908531746031746,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[1497, 2753, 768, 620, 877, 1025, 2725, 1054, 324, 2204]",11,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[2181, 843, 2165, 2285, 899, 1286, 2554, 2703, 1156, 2403]",12,0.9626543209876544,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2688, 362, 2306, 1684, 748, 753, 391, 2171, 160, 2572]",13,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[889, 3157, 1962, 1050, 604, 1449, 1206, 520, 1076, 2649]",14,1.0,1.0,1.0
right lung opacity,"[True, False, True, True, True, True, True, True, True, True]","[1423, 2021, 2733, 1944, 1672, 3064, 1232, 734, 988, 2712]",16,0.8412257495590829,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, False]","[2946, 3119, 2992, 2325, 1396, 839, 402, 2647, 1897, 3154]",17,1.0,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2061, 2427, 931, 2526, 2758, 759, 998, 2838, 3037, 1866]",19,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[2424, 1708, 463, 2484, 2845, 2948, 1738, 2796, 1642, 2863]",20,1.0,1.0,1.0
