label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True]","[482, 2395, 3044]",0,1.0,1.0,1.0
lung opacity,"[False, True, True]","[912, 390, 175]",1,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[False, False, False]","[796, 2897, 2567]",2,0.0,0.0,0.0
lung opacity,"[True, True, True]","[536, 2018, 2736]",3,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1398, 2650, 567]",4,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1297, 2642, 1675]",5,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1650, 2433, 2522]",6,1.0,1.0,1.0
lung opacity,"[True, True, False]","[2041, 1637, 3011]",8,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[995, 170, 1941]",9,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1497, 2753, 768]",11,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2181, 843, 2165]",12,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2688, 362, 2306]",13,1.0,1.0,1.0
lung opacity,"[True, True, True]","[889, 3157, 1962]",14,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1423, 2021, 2733]",16,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2946, 3119, 2992]",17,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2061, 2427, 931]",19,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2424, 1708, 463]",20,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2894, 329, 2257]",21,1.0,1.0,1.0
lung opacity,"[True, True, False]","[2228, 990, 2655]",22,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2924, 1481, 1917]",23,1.0,1.0,1.0
lung opacity,"[True, True, True]","[956, 2712, 2128]",24,1.0,1.0,1.0
lung opacity,"[True, True, True]","[406, 1860, 277]",26,1.0,1.0,1.0
lung opacity,"[True, True, True]","[928, 3180, 2453]",27,1.0,1.0,1.0
lung opacity,"[False, True, True]","[2281, 3118, 563]",28,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[1713, 1419, 548]",29,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1169, 325, 309]",30,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2857, 511, 2525]",31,1.0,1.0,1.0
lung opacity,"[True, True, True]","[441, 2162, 2955]",32,1.0,1.0,1.0
lung opacity,"[True, True, True]","[865, 645, 2411]",33,1.0,1.0,1.0
lung opacity,"[True, True, False]","[72, 167, 654]",35,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[300, 1316, 2100]",36,1.0,1.0,1.0
lung opacity,"[True, True, True]","[795, 651, 468]",37,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1280, 1010, 924]",38,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[927, 905, 183]",39,1.0,1.0,1.0
lung opacity,"[True, False, True]","[690, 1016, 2380]",40,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[False, True, True]","[952, 2998, 2997]",41,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[2612, 184, 1515]",42,1.0,1.0,1.0
lung opacity,"[True, False, True]","[706, 447, 1958]",43,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1272, 2603, 307]",45,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3019, 2645, 1307]",46,1.0,1.0,1.0
lung opacity,"[True, True, False]","[2653, 2604, 1877]",48,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2381, 2760, 2529]",51,1.0,1.0,1.0
lung opacity,"[True, True, False]","[2581, 542, 365]",52,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[66, 1522, 2335]",53,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1334, 2109, 2928]",54,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[False, True, True]","[2836, 1353, 4]",55,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, False, True]","[1411, 145, 3128]",56,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[467, 1533, 1890]",57,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1862, 2419, 1189]",59,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2222, 1389, 96]",60,1.0,1.0,1.0
lung opacity,"[False, True, True]","[348, 1523, 1858]",61,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[1787, 2913, 2846]",62,1.0,1.0,1.0
lung opacity,"[True, True, True]","[122, 150, 2511]",64,1.0,1.0,1.0
lung opacity,"[True, True, True]","[363, 2568, 797]",65,1.0,1.0,1.0
lung opacity,"[True, True, False]","[53, 1295, 135]",66,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[148, 2477, 657]",67,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1548, 2165, 1336]",68,1.0,1.0,1.0
lung opacity,"[True, True, False]","[167, 566, 1190]",69,1.0,0.6666666666666666,1.0
