label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, False, True]","[2358, 628, 953]",0,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2403, 640, 2221]",1,1.0,1.0,1.0
lung opacity,"[True, False, False]","[1032, 3047, 1193]",2,1.0,0.3333333333333333,1.0
lung opacity,"[True, False, True]","[223, 2259, 440]",3,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1882, 1492, 2628]",4,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3162, 2263, 1495]",5,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2803, 2180, 386]",6,1.0,1.0,1.0
lung opacity,"[False, True, True]","[152, 2981, 2146]",8,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[873, 138, 965]",9,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2204, 2419, 2474]",11,1.0,1.0,1.0
lung opacity,"[True, True, True]","[716, 1553, 2522]",12,1.0,1.0,1.0
lung opacity,"[True, True, True]","[408, 1321, 2546]",13,1.0,1.0,1.0
lung opacity,"[True, True, True]","[113, 848, 648]",14,1.0,1.0,1.0
lung opacity,"[False, True, False]","[2021, 1891, 2214]",16,0.5,0.3333333333333333,0.5
lung opacity,"[True, True, True]","[2647, 3119, 1470]",17,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2082, 1061, 2295]",19,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1678, 2602, 499]",20,1.0,1.0,1.0
lung opacity,"[True, True, False]","[2677, 2341, 1834]",21,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2400, 1378, 139]",22,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2152, 2416, 947]",23,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2395, 1468, 2712]",24,1.0,1.0,1.0
lung opacity,"[True, True, True]","[21, 1297, 331]",26,1.0,1.0,1.0
lung opacity,"[True, True, True]","[165, 1022, 1111]",27,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1279, 1179, 1408]",28,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1028, 3052, 2130]",29,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, False]","[309, 1169, 1177]",30,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[163, 2562, 434]",31,1.0,1.0,1.0
lung opacity,"[True, True, True]","[858, 441, 3119]",32,1.0,1.0,1.0
