label_name,target_hit,target_indices,query_indices,AP,HR,RR
right lung opacity,"[True, True, True, True, False, True, True, True, True, True]","[953, 1840, 859, 1929, 628, 1105, 1179, 813, 1969, 54]",0,0.9282627865961199,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, False, True, True, True]","[2751, 1343, 1371, 1414, 2469, 137, 616, 2957, 477, 2075]",1,0.9626543209876544,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, False]","[2679, 1918, 2670, 1949, 1032, 413, 875, 321, 2657, 203]",2,1.0,0.9,1.0
right lung opacity,"[True, True, True, True, False, True, True, True, True, True]","[1350, 2919, 3184, 2379, 1808, 2951, 2163, 1301, 877, 3038]",4,0.9282627865961199,0.9,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[3148, 992, 1281, 858, 1875, 458, 2172, 1095, 499, 1423]",5,1.0,1.0,1.0
right lung opacity,"[True, True, True, True, True, True, False, True, True, False]","[1097, 1268, 2419, 2663, 1313, 1013, 1333, 1228, 1194, 1605]",6,0.9704861111111112,0.8,1.0
right lung opacity,"[True, True, False, True, True, False, True, True, True, False]","[2786, 484, 1656, 1541, 233, 2046, 526, 2894, 873, 102]",9,0.827437641723356,0.7,1.0
right lung opacity,"[True, True, True, True, False, True, True, True, True, True]","[16, 2340, 652, 1455, 2964, 1035, 2720, 2094, 2067, 1735]",11,0.9282627865961199,0.9,1.0
right lung opacity,"[True, True, False, True, False, True, True, True, True, True]","[219, 998, 92, 2630, 2876, 1551, 1580, 1192, 1964, 850]",12,0.8073412698412699,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, False, True, True, False]","[333, 306, 3074, 1059, 1917, 1522, 1585, 3088, 96, 2517]",13,0.9704861111111112,0.8,1.0
right lung opacity,"[True, True, True, True, True, True, True, True, True, True]","[42, 2917, 1320, 2993, 1506, 277, 1305, 1247, 2713, 3131]",14,1.0,1.0,1.0
right lung opacity,"[True, True, False, True, True, True, True, True, True, True]","[2908, 831, 2021, 1035, 266, 326, 352, 1731, 11, 2922]",16,0.8782627865961199,0.9,1.0
