label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True, True, True]","[482, 223, 1933, 684, 2804]",0,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2000, 390, 67, 2473, 310]",1,1.0,1.0,1.0
lung opacity,"[False, False, True, True, False]","[1193, 773, 325, 405, 3166]",2,0.41666666666666663,0.4,0.3333333333333333
lung opacity,"[True, True, True, True, True]","[1888, 536, 2829, 2406, 1302]",3,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True]","[754, 492, 1643, 1865, 2151]",4,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[3081, 3162, 2121, 1692, 2642]",5,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[274, 2485, 2383, 812, 2924]",6,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2575, 1474, 3073, 2834, 2503]",8,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[873, 3030, 666, 1265, 1316]",9,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, True, True, True]","[3076, 2753, 538, 1417, 59]",11,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2803, 3134, 716, 1194, 1149]",12,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[627, 2140, 1012, 1231, 1603]",13,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[277, 604, 1085, 2698, 1050]",14,1.0,1.0,1.0
lung opacity,"[True, False, True, True, False]","[784, 2021, 2441, 3042, 2023]",16,0.8055555555555555,0.6,1.0
lung opacity,"[True, True, True, True, False]","[2647, 614, 1897, 441, 1834]",17,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1344, 771, 1061, 377, 2610]",19,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False]","[2779, 2777, 645, 1012, 1395]",20,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1480, 1672, 2113, 465, 2760]",21,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2847, 3167, 1007, 2205, 523]",22,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[947, 419, 2180, 607, 1230]",23,0.95,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2501, 1690, 1085, 346, 1437]",24,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[3000, 2619, 91, 1445, 2139]",26,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2192, 3141, 1498, 358, 1826]",27,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1929, 51, 482, 3118, 2075]",28,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True]","[2189, 1331, 2563, 766, 899]",29,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, True, True, True]","[325, 466, 3115, 2909, 581]",30,1.0,1.0,1.0
lung opacity,"[True, True, False, False, True]","[434, 163, 1225, 120, 3091]",31,0.8666666666666667,0.6,1.0
lung opacity,"[True, True, True, True, True]","[1399, 2619, 657, 2816, 2060]",32,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1935, 2688, 144, 748, 1784]",33,1.0,1.0,1.0
lung opacity,"[True, False, False, True, True]","[291, 904, 1889, 3082, 1531]",35,0.7000000000000001,0.6,1.0
lung opacity,"[True, True, True, True, True]","[2498, 1653, 2894, 748, 2789]",36,1.0,1.0,1.0
