label_name,target_hit,target_indices,query_indices,AP,HR,RR
right lung opacity,"[True, False, True]","[1179, 628, 2296]",0,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1343, 2403, 3168]",1,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[3047, 325, 1502]",2,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[1882, 1492, 295]",4,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3162, 2738, 1875]",5,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[2803, 1418, 2524]",6,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, False, True]","[1541, 102, 714]",9,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[2716, 1803, 2456]",11,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2479, 1796, 1729]",12,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[1321, 461, 1462]",13,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[848, 2694, 2604]",14,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[2021, 1891, 2473]",16,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[2647, 2217, 3119]",17,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3037, 416, 2082]",19,1.0,1.0,1.0
right lung opacity,"[True, False, False]","[1678, 977, 1585]",20,1.0,0.3333333333333333,1.0
right lung opacity,"[True, True, True]","[2338, 657, 465]",21,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[398, 1511, 622]",22,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2416, 2155, 2557]",23,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1468, 762, 2395]",24,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2338, 21, 331]",26,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[165, 1563, 1022]",27,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3118, 2736, 482]",28,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2019, 3052, 2329]",29,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[309, 1169, 2597]",30,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[163, 434, 1509]",31,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1634, 858, 2677]",32,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[3013, 2688, 748]",33,1.0,1.0,1.0
right lung opacity,"[False, True, True]","[1573, 2245, 1684]",36,0.5833333333333333,0.6666666666666666,0.5
right lung opacity,"[True, True, True]","[427, 2471, 688]",37,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2471, 1680, 2280]",38,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1981, 1820, 383]",39,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[2094, 522, 1383]",40,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[808, 1247, 2993]",42,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2689, 1539, 2294]",43,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2140, 477, 2230]",45,1.0,1.0,1.0
right lung opacity,"[True, False, True]","[1744, 299, 1382]",46,0.8333333333333333,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1308, 969, 1711]",48,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2888, 2217, 1725]",51,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2693, 2764, 2389]",52,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[177, 2363, 1944]",53,1.0,1.0,1.0
right lung opacity,"[True, True, False]","[1351, 2928, 946]",54,1.0,0.6666666666666666,1.0
right lung opacity,"[True, True, True]","[1704, 230, 2037]",56,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2442, 3107, 226]",57,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2419, 2769, 89]",59,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[1901, 1256, 2738]",60,1.0,1.0,1.0
right lung opacity,"[True, True, True]","[2221, 1523, 2024]",61,1.0,1.0,1.0
