label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True, True, True]","[1257, 2999, 623, 407, 2747]",0,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[3168, 390, 999, 1913, 1255]",1,1.0,1.0,1.0
lung opacity,"[True, False, False, True, False]","[735, 773, 2482, 2173, 1003]",2,0.75,0.4,1.0
lung opacity,"[True, True, True, True, True]","[3024, 2736, 71, 2012, 1960]",3,1.0,1.0,1.0
lung opacity,"[False, True, False, True, True]","[1083, 1797, 1294, 1253, 1429]",4,0.5333333333333333,0.6,0.5
lung opacity,"[True, False, True, True, True]","[1634, 2214, 2161, 2477, 1170]",5,0.8041666666666667,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1048, 1904, 2408, 2129, 2085]",6,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True]","[2571, 1089, 2007, 218, 1231]",8,0.6791666666666667,0.8,0.5
lung opacity,"[True, True, False, True, True]","[766, 2850, 2644, 2228, 1738]",9,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[3036, 2549, 623, 827, 2215]",11,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[60, 1499, 1063, 2208, 1995]",12,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2879, 2430, 1749, 1501, 2889]",13,1.0,1.0,1.0
lung opacity,"[True, True, True, False, False]","[113, 2996, 1920, 904, 2869]",14,1.0,0.6,1.0
lung opacity,"[False, False, True, True, True]","[485, 2021, 876, 2559, 576]",16,0.4777777777777777,0.6,0.3333333333333333
lung opacity,"[True, True, True, True, True]","[2647, 2172, 1626, 2789, 1313]",17,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True]","[819, 2501, 1189, 1731, 2822]",19,0.8875,0.8,1.0
lung opacity,"[True, True, False, True, True]","[1566, 869, 2281, 2948, 1520]",20,0.8875,0.8,1.0
lung opacity,"[True, True, False, True, True]","[2164, 1019, 267, 3092, 2462]",21,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[1589, 60, 2783, 2211, 1522]",22,1.0,1.0,1.0
lung opacity,"[True, True, False, True, False]","[1141, 2734, 2571, 2035, 1631]",23,0.9166666666666666,0.6,1.0
lung opacity,"[True, True, True, True, True]","[121, 437, 722, 725, 304]",24,1.0,1.0,1.0
lung opacity,"[False, True, True, True, True]","[2023, 1897, 3104, 3107, 1635]",26,0.6791666666666667,0.8,0.5
