label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, False, True, True]","[1199, 1108, 2281, 1867, 2128]",0,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[3168, 2376, 611, 1459, 1339]",1,1.0,1.0,1.0
lung opacity,"[False, False, True, True, True]","[2027, 1060, 2393, 3004, 2458]",2,0.4777777777777777,0.6,0.3333333333333333
lung opacity,"[True, True, False, True, True]","[536, 1097, 2259, 1561, 1400]",3,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2415, 1955, 1356, 1745, 2534]",4,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1445, 750, 1389, 155, 1594]",5,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[806, 1292, 1553, 752, 1302]",6,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2703, 2603, 1906, 1021, 3082]",8,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[714, 313, 2657, 243, 1364]",9,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False]","[2326, 1253, 1340, 754, 618]",11,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2584, 1341, 1203, 1231, 2705]",12,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[645, 323, 2140, 1501, 67]",13,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[837, 277, 2488, 172, 2993]",14,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False]","[22, 1919, 277, 143, 135]",16,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2647, 2178, 3081, 1170, 1875]",17,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2610, 1098, 1681, 2891, 1061]",19,1.0,1.0,1.0
lung opacity,"[True, False, False, True, True]","[1558, 1585, 3183, 645, 67]",20,0.7000000000000001,0.6,1.0
lung opacity,"[True, True, True, True, True]","[849, 2392, 1526, 657, 2462]",21,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[3058, 599, 16, 277, 2040]",22,1.0,1.0,1.0
lung opacity,"[False, True, True, False, True]","[1324, 175, 1530, 2407, 1311]",23,0.5888888888888889,0.6,0.5
lung opacity,"[True, True, True, True, True]","[99, 516, 2471, 762, 440]",24,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[648, 1489, 331, 2642, 2781]",26,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[892, 2115, 2319, 2644, 33]",27,0.95,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2671, 2932, 2157, 1780, 2439]",28,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1019, 967, 269, 2652, 1917]",29,1.0,1.0,1.0
lung opacity,"[True, True, False, False, False]","[309, 325, 114, 803, 1673]",30,1.0,0.4,1.0
lung opacity,"[True, True, True, True, True]","[434, 163, 2096, 190, 3090]",31,1.0,1.0,1.0
lung opacity,"[True, True, False, True, True]","[441, 1832, 1834, 2760, 2480]",32,0.8875,0.8,1.0
lung opacity,"[True, True, True, True, True]","[2688, 2319, 3187, 798, 1935]",33,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2608, 881, 738, 2735, 566]",35,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1971, 646, 2557, 2243, 2129]",36,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2094, 1383, 522, 2216, 3090]",37,1.0,1.0,1.0
lung opacity,"[True, True, True, True, False]","[1113, 2043, 2910, 194, 924]",38,1.0,0.8,1.0
lung opacity,"[True, True, True, True, True]","[3078, 2828, 623, 1639, 2882]",39,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[1556, 1383, 1709, 2525, 2216]",40,1.0,1.0,1.0
lung opacity,"[True, True, True, False, True]","[1917, 597, 2310, 2407, 1498]",41,0.95,0.8,1.0
lung opacity,"[True, True, True, True, True]","[749, 948, 2080, 1449, 2960]",42,1.0,1.0,1.0
lung opacity,"[True, True, True, True, True]","[2755, 1539, 2351, 2641, 2689]",43,1.0,1.0,1.0
lung opacity,"[True, False, True, True, True]","[1511, 1950, 1968, 2913, 625]",45,0.8041666666666667,0.8,1.0
lung opacity,"[False, True, True, True, False]","[1229, 2912, 360, 1370, 2877]",46,0.6388888888888888,0.6,0.5
