label_name,target_hit,target_indices,query_indices,AP,HR,RR
lung opacity,"[True, True, True]","[1647, 1226, 2926]",0,1.0,1.0,1.0
lung opacity,"[True, True, True]","[56, 3168, 679]",1,1.0,1.0,1.0
lung opacity,"[True, False, False]","[405, 1800, 1153]",2,1.0,0.3333333333333333,1.0
lung opacity,"[True, True, True]","[536, 2334, 378]",3,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1253, 55, 1903]",4,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1470, 1387, 1725]",5,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1934, 2689, 730]",6,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2739, 2256, 294]",8,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2135, 666, 873]",9,1.0,1.0,1.0
lung opacity,"[True, True, True]","[178, 538, 2300]",11,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1107, 2563, 2479]",12,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1749, 791, 645]",13,1.0,1.0,1.0
lung opacity,"[True, False, True]","[2148, 1946, 969]",14,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, False, True]","[2708, 1267, 1076]",16,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2647, 2172, 1479]",17,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1654, 1934, 1292]",19,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2572, 436, 306]",20,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3110, 465, 2330]",21,1.0,1.0,1.0
lung opacity,"[True, True, False]","[316, 66, 2517]",22,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2180, 2428, 52]",23,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1507, 2148, 1867]",24,1.0,1.0,1.0
lung opacity,"[False, True, False]","[2870, 1831, 2214]",26,0.5,0.3333333333333333,0.5
lung opacity,"[True, True, True]","[1791, 280, 424]",27,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2075, 2060, 2327]",28,1.0,1.0,1.0
lung opacity,"[True, False, True]","[812, 399, 2284]",29,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, False, True]","[309, 1472, 325]",30,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, False]","[163, 2951, 825]",31,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2619, 1679, 1387]",32,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3187, 1612, 1886]",33,1.0,1.0,1.0
lung opacity,"[False, False, True]","[1348, 103, 291]",35,0.3333333333333333,0.3333333333333333,0.3333333333333333
lung opacity,"[True, True, True]","[753, 2583, 2789]",36,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1358, 2743, 1383]",37,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[37, 427, 2743]",38,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1492, 1895, 2360]",39,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1943, 3070, 2043]",40,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2777, 2547, 1313]",41,1.0,1.0,1.0
lung opacity,"[True, True, True]","[914, 668, 2265]",42,1.0,1.0,1.0
lung opacity,"[True, True, True]","[377, 1539, 2437]",43,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1154, 1494, 2815]",45,1.0,1.0,1.0
lung opacity,"[True, True, True]","[3135, 522, 2043]",46,1.0,1.0,1.0
lung opacity,"[True, True, True]","[573, 2593, 2398]",48,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2162, 2060, 3119]",51,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2428, 2130, 23]",52,1.0,1.0,1.0
lung opacity,"[True, True, True]","[245, 1244, 1730]",53,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2101, 2743, 509]",54,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1429, 1253, 1260]",55,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1194, 1, 1448]",56,1.0,1.0,1.0
lung opacity,"[True, True, True]","[472, 868, 210]",57,1.0,1.0,1.0
lung opacity,"[True, False, True]","[728, 44, 2739]",59,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[656, 1222, 2791]",60,1.0,1.0,1.0
lung opacity,"[True, True, False]","[564, 2832, 3057]",61,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1188, 2146, 2100]",62,1.0,1.0,1.0
lung opacity,"[True, True, True]","[150, 565, 170]",64,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1286, 1705, 2749]",65,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1900, 1837, 1642]",66,1.0,1.0,1.0
lung opacity,"[True, False, True]","[2000, 461, 390]",67,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[2469, 3141, 1591]",68,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2849, 1023, 2279]",69,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1415, 986, 2784]",70,1.0,1.0,1.0
lung opacity,"[True, True, True]","[137, 729, 2351]",71,1.0,1.0,1.0
lung opacity,"[True, False, True]","[790, 686, 3145]",72,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[3159, 2777, 227]",73,1.0,1.0,1.0
lung opacity,"[True, False, True]","[2828, 561, 623]",75,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1953, 2648, 357]",77,1.0,1.0,1.0
lung opacity,"[True, True, True]","[209, 1283, 1317]",78,1.0,1.0,1.0
lung opacity,"[True, True, True]","[615, 1895, 759]",79,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1429, 2735, 103]",80,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1702, 2765, 160]",81,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1573, 160, 1309]",82,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[475, 195, 465]",83,1.0,1.0,1.0
lung opacity,"[True, True, True]","[979, 80, 1167]",85,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1381, 2205, 2656]",86,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[1668, 2424, 3176]",87,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2593, 2111, 3058]",88,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2550, 764, 3001]",89,1.0,1.0,1.0
lung opacity,"[True, True, False]","[526, 2812, 1288]",90,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, False]","[253, 1380, 2870]",91,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1780, 2852, 1380]",93,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1737, 3101, 2383]",94,1.0,1.0,1.0
lung opacity,"[False, False, False]","[1885, 136, 2117]",95,0.0,0.0,0.0
lung opacity,"[True, True, True]","[656, 3049, 2864]",96,1.0,1.0,1.0
lung opacity,"[True, True, False]","[1173, 531, 2823]",97,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1104, 2063, 397]",98,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2280, 2768, 675]",99,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1954, 207, 1023]",100,1.0,1.0,1.0
lung opacity,"[False, True, True]","[1816, 718, 935]",101,0.5833333333333333,0.6666666666666666,0.5
lung opacity,"[True, True, True]","[1903, 2582, 2133]",105,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2270, 655, 2322]",106,1.0,1.0,1.0
lung opacity,"[True, True, True]","[170, 1393, 1223]",108,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2234, 1017, 2944]",109,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1429, 295, 80]",110,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1375, 997, 279]",112,1.0,1.0,1.0
lung opacity,"[True, True, True]","[268, 3184, 2675]",113,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2683, 1332, 2570]",115,1.0,1.0,1.0
lung opacity,"[True, True, True]","[363, 1149, 1607]",117,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2970, 645, 3180]",118,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1678, 2520, 3176]",119,1.0,1.0,1.0
lung opacity,"[True, True, True]","[997, 2939, 112]",121,1.0,1.0,1.0
lung opacity,"[True, True, False]","[2825, 691, 2438]",122,1.0,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[225, 2419, 2077]",123,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1650, 2689, 1662]",124,1.0,1.0,1.0
lung opacity,"[True, True, True]","[73, 2262, 477]",125,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2997, 272, 2657]",126,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2257, 1389, 580]",127,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2134, 292, 1299]",129,1.0,1.0,1.0
lung opacity,"[False, False, False]","[1093, 508, 1153]",130,0.0,0.0,0.0
lung opacity,"[True, True, True]","[606, 695, 336]",131,1.0,1.0,1.0
lung opacity,"[True, True, True]","[1459, 71, 1091]",137,1.0,1.0,1.0
lung opacity,"[True, True, True]","[2539, 2226, 929]",138,1.0,1.0,1.0
lung opacity,"[True, True, True]","[602, 470, 2305]",139,1.0,1.0,1.0
lung opacity,"[True, False, True]","[1006, 1204, 1951]",140,0.8333333333333333,0.6666666666666666,1.0
lung opacity,"[True, True, True]","[1859, 2019, 1689]",141,1.0,1.0,1.0
